name,followers,popularity,spotify_url
Thanh Bùi,10642,29,https://open.spotify.com/artist/2q8305j8iKRCQr7Tn6woin
Thủy Tiên,10084,31,https://open.spotify.com/artist/1DOiJPXSa8eUgf0bTUeyn5
Kim Tanh,0,0,https://open.spotify.com/artist/4VxnSWbi4uAXGwyC2q4eVx
Osad,295725,41,https://open.spotify.com/artist/6sJBvMCAi9NuNCxI9RDYDW
Khoa Vũ,913,34,https://open.spotify.com/artist/4OqYnPUq6VwNMacIwwbWGw
Akira Phan,79204,33,https://open.spotify.com/artist/2Toc6VK22Fh0kV09xFF60J
Seachains,38412,42,https://open.spotify.com/artist/6UiKZD9yB7Gxjol62s431k
Lệ Quyên,404476,43,https://open.spotify.com/artist/4F5jaYapI8RtTpqwaYs4IF
Lê Anh Dũng,603,12,https://open.spotify.com/artist/0DgX0whAxw8g6vgrIYKU67
Mỹ Châu,603,9,https://open.spotify.com/artist/1xArJhILI01epXW5VKeVvM
Lam Ngoc Hoa,92,0,https://open.spotify.com/artist/12X16yn9NMCZzGisA05HLV
Thanh Hằng,123,1,https://open.spotify.com/artist/0UB2jxrynJrjBONUgHdW8g
Lou Hoàng,493962,57,https://open.spotify.com/artist/75Ki5hBCOpDtKGoFyTvLxP
GREEN,193,17,https://open.spotify.com/artist/4xpissVW4bmlOtdjPgZOLJ
Bảo Thy,158074,26,https://open.spotify.com/artist/4DPEUF2kY7kVrbXX4Zgu7S
Mademoiselle,56597,27,https://open.spotify.com/artist/5ehbiyqYPwIDaUY4AxrhVq
LK,35946,34,https://open.spotify.com/artist/6S0JgJU2l6ds1EhZUJMQFk
HURRYKNG,252600,59,https://open.spotify.com/artist/5ulyphh5uJrH4Gb1JpSMkV
Biển Của Hy Vọng,17932,33,https://open.spotify.com/artist/6bLRsp9AAj3St5Ai70PPVm
Huy Quang,147,0,https://open.spotify.com/artist/5CWc4MeiVMtw2FxdezRNbB
Onionn.,26481,50,https://open.spotify.com/artist/25M5YMbLCbYDSFPhQXYE8c
Hồng Tơ,57,1,https://open.spotify.com/artist/5rI7Lzy91VNyc3NjV2QVks
Phùng Khánh Linh,85545,43,https://open.spotify.com/artist/23Gbd21nBxC1kCtcG2Cd0C
WAVXR,500,25,https://open.spotify.com/artist/0tMexwN6wUDQqHjOkjNhla
CrazyFrogs,138,13,https://open.spotify.com/artist/1CbfG2QxPU2r7wODxVwUTB
Duy Tran,69,11,https://open.spotify.com/artist/0UbBnxYAchMUeUdlccDndy
Anh Tú Atus,173442,54,https://open.spotify.com/artist/62D1qvKkvUCvXEtY1xwRfo
Nau,61206,50,https://open.spotify.com/artist/38QautgC2LNYKiu10BB0sF
Thanh An,391,10,https://open.spotify.com/artist/1Atur15G7AS2kE4qf2Dbu9
Ngô Lan Hương,74700,48,https://open.spotify.com/artist/3y0Tmt0epaxAHy6L89dGGC
Vinz,1800,19,https://open.spotify.com/artist/2bzQv7ULQH8ciOFdHeRHHh
PC,149415,51,https://open.spotify.com/artist/3HD3V1nGFPwepBO7064Ij0
Đàm Vĩnh Hưng,84630,35,https://open.spotify.com/artist/4ht0wODL01ELRxlDYvsFad
QUYNH,4229,30,https://open.spotify.com/artist/5HVhynFWNGRxwdMYWUggrf
KOY Music Group,21202,36,https://open.spotify.com/artist/4JoidasymfQjHFwRpQEMdw
Duy Mạnh,122058,35,https://open.spotify.com/artist/0MDeZ8vIkpFX3QkvY0el6B
Nhật Nguyễn,263,25,https://open.spotify.com/artist/2S3B3QTf6Yo5ttWSWPXAsz
Anh Hung,186,12,https://open.spotify.com/artist/2wP3oxnARVUESmXM4zYZAh
Liên Quân Mobile,7789,32,https://open.spotify.com/artist/7KHN9D81AGKzY7bUSL78FA
Tan Minh,1,0,https://open.spotify.com/artist/4i7Tlv8H1pRwceNFBK5T3u
Giang Nguyễn,336,33,https://open.spotify.com/artist/0aDZC2CPSqgpZwzqrh0DeF
Thanh Thanh Hoa,7,1,https://open.spotify.com/artist/6EhQDbwfKCz3vjbdszGfpo
orei,541,25,https://open.spotify.com/artist/57jlfYAkmb8Kijuihad9T3
Phương Trang,115,2,https://open.spotify.com/artist/2P6Jf9XmKIY3oEtBTBj1GZ
Ngân Giang,10,0,https://open.spotify.com/artist/1EYC1WkfmaXlsx8aIOTqCo
RIN9,23399,41,https://open.spotify.com/artist/6InVt9jASvsJY7qA60AGzf
Ngọc Tân,1955,17,https://open.spotify.com/artist/18BUhLLBiNh3EKoS0owcer
Lân Nhã,54713,40,https://open.spotify.com/artist/5CGYEvANR5mmYEuQwTYC93
Nguyễn Huỳnh,69,6,https://open.spotify.com/artist/4fVBN8VpwFKUiCTS6jMKSk
TINLE,1181,29,https://open.spotify.com/artist/1jLYYT9QNuDI4zz4Ky9fyq
Hồ Quang Hiếu,247031,42,https://open.spotify.com/artist/3x6FwiNj93pnxxMDNRA1IR
Thành Lễ,0,0,https://open.spotify.com/artist/2ZDuEgIRwcLgY14WAPjrF6
Thanh Nguyệt,2,0,https://open.spotify.com/artist/3goL3PS4sBD1cWRn9UpSQA
Thanh Thanh Hiền,625,4,https://open.spotify.com/artist/1DXLfzWuk7dArDidTqLVtt
Hề Minh,0,0,https://open.spotify.com/artist/3NI5naGihzWOmMnheUDAn7
Trang Hàn,28158,27,https://open.spotify.com/artist/2gugq8LTugkTfMNQKiO7sK
Huy Thái,123,14,https://open.spotify.com/artist/0oVPpOTgU2D9tKzQLwf8uB
Thanh Tú,39,0,https://open.spotify.com/artist/76Vq8NaiQPp7rmwLth8FS3
Phi Thoàn,2,0,https://open.spotify.com/artist/5ll6YXjabeN0XRKhRxqZi8
Shayda,7424,33,https://open.spotify.com/artist/4WF9GdetrQiLeWDWAISRGa
Thiên Quang,9213,22,https://open.spotify.com/artist/58mUjJjKQywcSmunX8z30H
Nam Cường,27761,23,https://open.spotify.com/artist/64vIV4nGYnWdHeioX3kIdA
Puddingiln,130,29,https://open.spotify.com/artist/21AJbiw2i4cy0RmriStusd
Ngan Doai,4,5,https://open.spotify.com/artist/5sT0vLq5FSCyA7wqrPkHZD
Quốc Đại,11719,24,https://open.spotify.com/artist/2nfy0nJ70ftD2p3WeEVrw9
Mason Nguyen,31098,47,https://open.spotify.com/artist/39UJlviUwzZGZrA8DiQy31
