name,release_date,album_type,album_name,artists,duration_ms,popularity,spotify_url
Không Phải Dạng Vừa Đâu,2013,album,m-tp M-TP,Sơn Tùng M-TP,247634,0,https://open.spotify.com/track/4yHdRaAAzoAmzC9pbrmiE1
Chúng Ta Không Thuộc Về Nhau,2013,album,m-tp M-TP,Sơn Tùng M-TP,233009,0,https://open.spotify.com/track/6mwLlebZwvlCewF06M16nu
Âm Thầm Bên Em,2013,album,m-tp M-TP,Sơn Tùng M-TP,293112,0,https://open.spotify.com/track/1Huy9G87D6pbIveFulsH0P
Nơi Này Có Anh,2013,album,m-tp M-TP,Sơn Tùng M-TP,260117,0,https://open.spotify.com/track/5HbLlcJogki9rRq2KfkGQP
CHẠY NGAY ĐI,2018-05-12,single,CHẠY NGAY ĐI,"Sơn Tùng M-TP, Onionn.",272507,0,https://open.spotify.com/track/4HlHNLtfxP7Y5z03j3eNOi
Hãy Trao Cho Anh,2019-07-03,single,Hãy Trao Cho Anh,"Sơn Tùng M-TP, Snoop Dogg",245658,0,https://open.spotify.com/track/0f5yQttJS5nNxRAleF4kZO
Tình Bạn Diệu Kỳ,2021-01-23,album,Diệu Kỳ Việt Nam,"AMEE, Ricky Star, Lăng LD",188444,0,https://open.spotify.com/track/2f8Ew6sB7KHlTiH9NTLvVM
Chỉ Muốn Bên Em Lúc Này (Lofi Ver.),2021-01-24,album,Lâu Phai #2 (LOFI),"Orinn, Jiki X (Nguyễn Vũ Hùng), Huy Vạc",264645,0,https://open.spotify.com/track/3rZYyvpOtgZzRDs0EzGocq
Tình Yêu Khủng Long,2020-05-11,single,Tình Yêu Khủng Long,Fay,224907,0,https://open.spotify.com/track/7yhXs8YqMjGEdhJFx6LZoE
Dù Cho Tận Thế,2025-02-06,single,Dù Cho Tận Thế,ERIK,233263,67,https://open.spotify.com/track/0oSc7X1uRQGuEqNRtXEeQL
Có Đôi Điều,2024-06-27,single,Lặng,Shiki,174000,63,https://open.spotify.com/track/2Pwou3Q2Cf59RxdX2V6MgV
Mất Kết Nối,2024-11-22,single,Dữ Liệu Quý,Dương Domic,207473,69,https://open.spotify.com/track/3CmacJj7VC4W6daC8BWd0h
baby you are not alone,2024-12-18,single,baby you are not alone,"Kai Đinh, AMEE, TDK",277380,34,https://open.spotify.com/track/2CnvYoYxLgvrSmBn563Kdc
Mưa Thâm Lặng Giời,2024-11-01,single,Mưa Thâm Lặng Giời,"BigDaddy, GREY D",228521,44,https://open.spotify.com/track/6INhamAhXUTRuXliyDirMV
Hẹn Gặp Em Dưới Ánh Trăng,2020-09-25,single,Hẹn Gặp Em Dưới Ánh Trăng,"MANBO, HIEUTHUHAI, HURRYKNG",222000,62,https://open.spotify.com/track/0s7RyyUlQfd8mnnboHe18n
thật quá đáng.. để yêu,2024-10-09,single,thật quá đáng.. để yêu,"NICKY, AMEE",186000,50,https://open.spotify.com/track/44sYmL97Lv8mEbzgANFkPD
